Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section
	ɑnəhr̬ᴇ̈:ᵊχtə	anathraochta	complètement épuisé				
240	krᴀᴜm̬həd	cromfad	je courberai		de krɔmʷɩmʹ (cromaim)		
	krɔmʷɩmʹ	cromaim	je courbe				
	krᴀᴜm̬ʰɩ ʃe·	cromfaidh sé	il courbera				
	kᴜ:m̥hə	cumtha	bien fait				
	brᴀᴜn̬hɩ ʃe·	bronnfaidh sé	il fera présent de		de brɔnɩmʹ (bronnaim)		
	brɔnɩmʹ	bronnaim	je fais présent				
	tan̬ʹhi:mʹ	taithnighim	je plais				
	tan̬ʹhəvəχ	taithneamhach	plaisant				
	do:l̬həχ ʃe·	d’ólfadh sé	il boirait				
	bu·ɛl̬ʹhɩ ʃe·	buailfidh sé	il frappera				
	bᴜ·ər̬hə	buadhartha	contrarié				
	ʌr̬hə	ortha	sur eux				
	ɛr̬ʹhɩ	uirthi	sur elle				
	kõ:r̬hə	comhartha	signe				
	lʲaᴜr̬hə	leabhartha			plur. de lʲaᴜr (leabhar)		
	lʲaᴜr	leabhar	livre				
	bɑ:r̬hn̬ʲəχ	báirneach	palourde				
	kʹᴇr̬hl̬i:nʹ	ceirtlín	peloton				
	to:r̬hn̬ʲəχ	tóirneach	tonnerre				
241	nʹαv-	neamh-		nʹα̃ṽ-			
	nʹαvaʃtʹⁱrʹəχ	neamhaistireach	insouciant, paresseux				
	nʹαmʹrʹɑ:	neamhbhreágh	laid	nʹαvʹrʹɑ:			
	nʹαmʷᴇ̈:ᵊχ	neamhbhuidheach	ingrat		de bʷᴇ̈:ᵊχ, forme modifiée : vʷᴇ̈:ᵊχ (buidheach, bhuidheach)		
	bʷᴇ̈:ᵊχ	buidheach					
	vʷᴇ̈:ᵊχ	bhuidheach	reconnaissant				
	nʲαmʲäλⁱrʹ	neamh-mheabhair	folie		de mʹäλⁱrʹ, forme modifiée vʹäλʹⁱrʹ (meabhair, mheabhair)		
	mʹäλⁱrʹ	meabhair	raison				
	vʹäλʹⁱrʹ	mheabhair	raison				
	lʲo:rgo:hɩnʹtʹ	leordhóthain	quantité largement suffisante				
242	lʹαh-	leath‑	demi				
	ah-	ath-	de nouveau				
	drʌh-	droch-	mauvais				
	lʹαvro:g	leathbhróg	un soulier (d’une paire)				
	lʹαçaᴜn	leathcheann	position penchée				
	lʹαsg̬ʹì:al	leathscéal	excuse				
	lʹαhì:an	leathéan	un oiseau (d’une paire) d’où un vieux garçon				
	aχɔgʷɩnʹtʹ	athchogaint	ruminer				
	ahᴜ·ɛrʹ	athuair	une seconde fois				
	drʌvʹαn	droichbhean	mauvaise femme				
	drʌrɪbʹɩ	drochruibe	mauvaise humeur		litt. « mauvais poil »		
	drʌhᴀᴜrəs	drochamhras	suspicion				
	dᴜv-	dubh‑	noir				
	nʹαv-	neamh-					
	dᴜ:həmɑ̃:ⁱnʹtʹ	dubh-thiomáint	conduire à toute allure				
	dᴜ:hɔləs	dubh-sholas	clair-obscur				
	dᴜvǥʌrəm	dubhghorm	bleu sombre				
	nʹαǥlɑ̃:n	neamhghlán	malpropre				
	nʹαhɔkʷɩrʹ	neamhshocair	agité				
	nʹαsg̬rʌpəl	neamhscrupall	manque de conscience				
243	bʹì:alʲλχ	béalfhliuch	humide, crachotant (en parlant du temps)		de bʹì:al (béal) et lʲλχ, forme modifiée de fʹlʲλχ (fliuch)		
	bʹì:al	béal	bouche				
	lʲλχ		humide				
	fʹlʲλχ	fliuch	humide				
	bʹì:allɑ:ⁱdʹɩrʹ	béalláidir	fort en gueule				
