Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section
167	lᴜχt	locht	faute	lɔχt		lo̤χt	
167	mᴜχ	moch	de bonne heure	mɔχ			
168	bərᴜ:ⁱlʹ	baramhail	opinion				
168	bᴜ:rdᴜ:n	búrdún	couplet				
168	brᴜ:ⁱmʹ	brúghaim	j’écrase				
168	klᴜ:	clú	réputation				
168	krᴜ:	crúdhadh	traire				
168	kᴜ̃:ŋg	cumhang	étroit				
168	dᴜ:χəs	dúthchas	naissance, hérédité				
168	dᴜ:ⁱlʹ	dúil	désir				
168	fʹαrᴜ:ⁱlʹ	fearamhail	mâle				
168	lʲᴜ:	liúgh	cri				
168	mu:ⁱnʹɩ	múineadh	enseigner				
168	mᴜ:χʷɩmʹ	múchaim	j’éteins				
168	pʲᴜ:nt	pionnt	pinte				
168	rᴜ:n	rún	secret				
168	ɩrʲᴜ:nəχ	oireamhnach	approprié				
168	ʃᴜ:l	siubhal	marche	ʃʲᴜ:l			
168	tᴜ:ləkə	tionnlacadh	accompagner				
168	ᴜ:fɑ:s	uathbhás	terreur				
168	ərᴜ:r	arbhar	céréale				
168	ᴜ:r	úr	frais				
169	mᴜ̃:ⁱnʹ	móin	tourbe	mõ:ⁱnʹ			
169	nᴜ̃:rə	Nóra	Nora	nõ:rə			
169	tᴜ̃:n	tón	fond	tõ:n			
169	kᴜ̃:rsə	comharsa	voisin	kõ:rsə			
169	kᴜ̃:rlʹɩ	comhairle	conseil	kõ:rlʹɩ			
169	rᴜ̃:m	romham	devant moi	rõ:m			
169	ɑnəvᴜ̃:ⁱnʹ	anamhóin	terreur	ɑnəvõ:ⁱnʹ			
169	lᴜ̃:nrə	lonnradh	éclat	lᴀ̃ᴜ̃nrə			
169	ᴜ̃:rɑ̃:n	amhrán	chanson, air	ᴀ̃ᴜ̃rɑ̃:n	la forme de Dunquin, alors qu’à quelques lieues au Nord (an Leitir Iubhach) on prononce ᴀ̃ᴜ̃rɑ̃:n, qui est la forme générale de Munster.		
170	gʲλbg̤ʹαb	giubgeab	bavardage, jacassement				
170	kʲλtə	ciota	chope				
170	kʲλkə	ciuca	lequel des deux				
170	dʲλks	diucs			dans des jurons : hɑnəm ɩnʹ dʲλks (th’ anam ó’n diucs)		
170	hɑnəm ɩnʹ dʲλks	th’ anam ó’n diucs	le diable t’emporte				
170	fʲλlər	fiolar	aigle				
170	flʲλχ	fliuch	humide				
170	gʲλks	giucs	un mot, une syllabe				
170	gʲλlə	giolla	groom, garçon de ferme				
170	glʲλgɩrʹɩ	gliogaire	vantard, fumiste				
170	pʲλk	piuc	une petite quantité, rien du tout				
170	pʲλbər	piobar	poivre				
170	ʃλk	siuc	gel	ʃʲλk			
170	ʃλpə	siopa	boutique				
170	sə tʲλpə	insan tsiopa	dans la boutique				
170	sb̬ʹrʹλk	spriuc	pierre levée				
170	λməl	imeall	bordure				
171	brλh	bruth	éruption				
171	gλh	guth	voix				
171	grλh	gruth	caillot				
171	srλh	sruth	flot				
171	rλh	rith	courir				
171	lλχ	luch	souris				
171	mλχ	moch	de bonne heure				
173	os ɑ:rdʹ	ós áird	tout haut				
173	o hᴜɛgʹ	o thuaidh	vers le nord				
173	χo mah	chomh maith	aussi bien				
173	morɑ̃:n	morán	beaucoup				
173	kʲoχɑ̃:n	ceochán	enrouement				
173	mo	mo	mon				
173	do	do	ton				
173	go	go	que				
173	bo	budh	serait				
174	bᴜso:g	busóg	petite vague				
174	bᴜno:k	bunóc	bébé				
174	bo:	bó	vache				
174	bʲo:	beó	vivant				
174	kʲo:l	ceól	musique		gén. kʲo:ⁱlʹ (ceôil)		
174	kʲo:ⁱlʹ	ceôil					
174	do:bʷɩrʹ	d’fhóbair	peu s’en fallut				
174	fʲo:ⁱlʹ	feóil	viande		gén. fʲo:lə (feóla)		
174	fʲo:lə	feóla					
174	fo:d	fód	motte de terre				
174	glo:r	glór	voix				
174	dʹrʹo:ⁱlʲi:nʹ	dreóilin	roitelet				
174	mo:	mó	plus grand				
174	o:ləs	eolas	connaissance				
174	ɩnʹ tʲo:ləs	an t-eólas					
174	tro:kʷɩrʹɩ	trócaire	pitié				
175	ʃõ:mᵊrə	seomra	chambre	ʃãᴜ̃mᵊrə			
177	fɔləv	follamh	vide				
177	gɔl	gol	pleurer				
177	ɔlk	olc	mauvais				
177	mɔlt	molt	bélier	mɔlh			
177	sɔləs	solas	lumière				
177	lɔχ	loch	lac				
177	klɔχ	cloch	pierre				
177	bɔχt	bocht	pauvre				
177	krɔχə	crochadh	pendre				
177	tɔχəs	tochas	démangeaison				
177	bɔg	bog	mou, doux				
177	kɔgər	cogar	chuchotement				
177	brɔk	broc	putois				
177	ɔkᵊrəs	ocras	faim				
177	sɔkʷɩrʹ	socair	tranquille				
177	srɔhə	srotha			gén. de srλh (sruth)		
177	srλh	sruth	courant				
177	rɔhə				de rλh		
177	brɔsnə	brosna	fagot				
177	kostəs	costas	dépense				
177	ɔsnə	osna	soupir				
177	tɔst	tost	silence				
177	lɔmə	lomadh	dépouiller				
177	krɔmʷɩmʹ	cromaim	je courbe				
177	fɔnəvər	fonnmhar	désireux				
177	sɔnə	sona	heureux				
177	sɔdər	sodar	trotter				
177	tɔbər	tobar	puits				
179	bʲo̤g	beag	petit				
179	ɩnʲ o̤χʷɩrʹ	an eochair	la clef				
179	dʲo̤kʷɩrʹ	deacair	difficile				
179	sg̬o̤lʹ	scoil	école		gén. sg̬ölʹɩ (scoile)		
179	g̬ölʹɩ	scoile					
179	to̤lʹ	toil	volonté				
179	ko̤ʃ	cois			dat. de kɔs (cos), mais gén. köʃɩ (coise)		
179	kɔs	cos					
179	köʃɩ	coise					
180	do̤nas	donas	malchance				
180	to̤mə	tomadh	tremper				
180	ko̤nəs	connus	comment ?	kᵊno̤s			262
180	go̤b	gob	bec				
180	o̤bən	obann	soudain				
180	o̤bʷɩrʹ	obair	travail				
180	so̤dər	sodar	trotter				
180	so̤p	sop	brin de paille				
180	o̤v	ubh	œuf				
180	to̤sɩgʹ	tosaigh			gén. de təsa·χ (tosach)		
180	təsa·χ	tosach	début				
180	to̤st	tost	silence				
180	ko̤sɩnʹtʹ	cosaint	protéger				
180	o̤χt	ocht	huit				
180	lo̤χ	loch	lac				
180	so̤ᵊχrɩdʹ	sochraid	enterrement				
180	o̤lən	olann	laine				
180	fo̤lkə	folcadh	laver				
180	do̤l	dul	aller				
181	kʌr	cor	fatiguer				
181	kʌrhə	cortha	fatigué				
181	dʌrəs	doras	porte				
181	dʌrəχə	dorcha	sombre				
181	dʌrən	dorn	poing				
181	kʌrp	corp	corps				
181	lʌrəg	lorg	chercher				
181	rʌd	rud	chose				
181	tʌr	tor	buisson				
181	ʌrəm	orm	sur moi				
181	ənʌχt	anocht	cette nuit	ənɔχt			
184	ɑgəs	agus	et				
184	ɑrəm	arm	arme				
184	ɑsəl	asal	âne				
184	glɑs	glas	gris-vert				
184	kɑsɩmʹ	casaim	je tourne				
184	lɑg	lag	faible				
184	fɑdə	fada	long				
184	mɑgə	magadh	plaisanter				
184	gɑrəv	garbh	grossier				
184	mɑrk	marc	signe				
184	mɑrəgə	margadh	marché				
184	nɑsg̬ʷɩmʹ	nascaim	je lie				
184	rɑgə	raga	chose, personne décharnée, coriace				
184	sɑlən	salann	sel				
184	tɑkə	taca	garantie				
184	tɑpʷɩgʹ	tapaidh	rapide				
185	ɑ:lʷɩnʹ	alainn	beau				
185	ɑ:rɩʃtʹi:	áraistí	ustensiles				
185	əbᵊlɑ:ⁱlʹ	abláil	bricoler				
185	bɑ:s	bás	mort		gén. bɑ:ʃ, bɑ:ⁱʃ (báis)		
185	bɑ:ʃ	báis		bɑ:ⁱʃ			
185	bɑ:r	barr	sommet				
185	blɑ:h	bláth	fleur				
185	kɑ:rdʹɩ	cairde			plur. de kɑrə (cara)		
185	kɑrə	cara	ami				
185	dɑ:ⁱlʹ	dáil	réunion				
185	fɑ:ⁱlʹtʹɩ	fáilte	bienvenue				
185	gʲɑ:rkəχ	gearrcach	oison				
185	kaʃlʲɑ̃:n	caisleán	château	kaʃlʹɑ̃:n			
185	mɑ:ⁱrʹɩ	Máire	Marie				
185	mnɑ̃:	mná			plur. de bʹαn (bean)		
185	bʹαn	bean	femme				
185	nɑ:ⁱrʹɩ	náire	honte				
185	lɑ̃:v	lámh	main				
185	lɑ:ⁱdʹɩrʹ	láidir	robuste				
185	rɑ:	rádh	dire				
185	sɑ:vɑ:ⁱltʹ	sábháil	économiser				
185	tɑ:	tá	(il) est				
185	trɑ:h	tráth	une fois				
186	hɑr naʃ	thar n‑ais	de retour				
186	braʃtʹɩnʹtʹ	braistint	sentir				
186	brahɩm	braithim	je sens				
186	baʃtʹɩ	baisteadh	baptême				
186	banʹɩ	bainne	lait				
186	kalʹɩmʹ	caillim	je perds				
186	daŋʹgʹən	daingean	solide				
186	ganʲəv	gaineamh	sable				
186	marʹɩgʹ	mairg	dommage				
186	madʹɩnʹ	maidin	matin				
186	tarʹɩvʹ	tairbh			gén. de tɑrəv (tarbh)		
186	tɑrəv	tarbh	taureau				
186	taʃ	tais	humide				
187	ahʹɩnʹɩ	aithne	connaissance	αhʹɩnʹɩ			
187	ahɩrʹ	athair	père	αhɩrʹ			
187	atʹ	ait	bizarre				
187	agʹɩnʹɩ	aigne	esprit	αgʹɩnʹɩ			
187	aʃtʹɩ			αʃtʹɩ	dans ɛr ən aʃtʹɩ ʃɩnʹ (ar an aiste sin)		
187	ɛr ən aʃtʹɩ ʃɩnʹ	ar an aiste sin	de cette façon				
187	ahɩʃ	aithis	humiliation				
187	arʹɩgʹəd	airgead	argent				
187	arʹɩ	aire	attention				
188	dah	dath	couleur				
188	mah	maith	bien				
188	kah	cath	combat				
188	ɛ brah	ag braith	dépendant				
188	rah	rath	chance				
188	nah	nath	attention		dans nʹi· χʷɪrʹɩmʹ ᴇ̈:n nah ᴀᴜn (ní chuirim aon nath ann)		
188	nʹi· χʷɪrʹɩmʹ ᴇ̈:n nah ᴀᴜn	ní chuirim aon nath ann	je n’y prête aucune attention				
188	bəka·χ	bacach	boiteux	bəkaχ			261
188	səla·χ	salach	sale				261
189	fʲa:r	fearr	meilleur	fʲɑ:r			
189	gʲa:r	gearr	court, proche (dans le temps)	gʲɑ:r			
189	bʲa:rhə	bearrtha	rasé	bʲɑ:rhə			
189	ɩ çã:ⁱn	a Shéain	Jean !	ɩ çɑ̃:ⁱnʹ	vocatif de ʃɑ̃:n (Seán)		
189	ʃɑ̃:n	Seán	Jean				
189	mʹⁱnʲa:l	muineál	cou	mʹⁱnʲɑ:l			
189	ɩnʲa:l	anál	haleine	ɩnʲɑ:l			
189	kʹɩmʲa:d	coimeâd	garder	kʹɩmʲɑ:d			
