Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section
239	ɑnəhr̬ᴇ̈:ᵊχtə	anathraochta	complètement épuisé				
240	krᴀᴜm̬həd	cromfad	je courberai		de krɔmʷɩmʹ (cromaim)		
240	krɔmʷɩmʹ	cromaim	je courbe				
240	krᴀᴜm̬ʰɩ ʃe·	cromfaidh sé	il courbera				
240	kᴜ:m̥hə	cumtha	bien fait				
240	brᴀᴜn̬hɩ ʃe·	bronnfaidh sé	il fera présent de		de brɔnɩmʹ (bronnaim)		
240	brɔnɩmʹ	bronnaim	je fais présent				
240	tan̬ʹhi:mʹ	taithnighim	je plais				
240	tan̬ʹhəvəχ	taithneamhach	plaisant				
240	do:l̬həχ ʃe·	d’ólfadh sé	il boirait				
240	bu·ɛl̬ʹhɩ ʃe·	buailfidh sé	il frappera				
240	bᴜ·ər̬hə	buadhartha	contrarié				
240	ʌr̬hə	ortha	sur eux				
240	ɛr̬ʹhɩ	uirthi	sur elle				
240	kõ:r̬hə	comhartha	signe				
240	lʲaᴜr̬hə	leabhartha			plur. de lʲaᴜr (leabhar)		
240	lʲaᴜr	leabhar	livre				
240	bɑ:r̬hn̬ʲəχ	báirneach	palourde				
240	kʹᴇr̬hl̬i:nʹ	ceirtlín	peloton				
240	to:r̬hn̬ʲəχ	tóirneach	tonnerre				
241	nʹαv-	neamh-		nʹα̃ṽ-			
241	nʹαvaʃtʹⁱrʹəχ	neamhaistireach	insouciant, paresseux				
241	nʹαmʹrʹɑ:	neamhbhreágh	laid	nʹαvʹrʹɑ:			
241	nʹαmʷᴇ̈:ᵊχ	neamhbhuidheach	ingrat		de bʷᴇ̈:ᵊχ, forme modifiée : vʷᴇ̈:ᵊχ (buidheach, bhuidheach)		
241	bʷᴇ̈:ᵊχ	buidheach					
241	vʷᴇ̈:ᵊχ	bhuidheach	reconnaissant				
241	nʲαmʲäλⁱrʹ	neamh-mheabhair	folie		de mʹäλⁱrʹ, forme modifiée vʹäλʹⁱrʹ (meabhair, mheabhair)		
241	mʹäλⁱrʹ	meabhair	raison				
241	vʹäλʹⁱrʹ	mheabhair	raison				
241	lʲo:rgo:hɩnʹtʹ	leordhóthain	quantité largement suffisante				
242	lʹαh-	leath‑	demi				
242	ah-	ath-	de nouveau				
242	drʌh-	droch-	mauvais				
242	lʹαvro:g	leathbhróg	un soulier (d’une paire)				
242	lʹαçaᴜn	leathcheann	position penchée				
242	lʹαsg̬ʹì:al	leathscéal	excuse				
242	lʹαhì:an	leathéan	un oiseau (d’une paire) d’où un vieux garçon				
242	aχɔgʷɩnʹtʹ	athchogaint	ruminer				
242	ahᴜ·ɛrʹ	athuair	une seconde fois				
242	drʌvʹαn	droichbhean	mauvaise femme				
242	drʌrɪbʹɩ	drochruibe	mauvaise humeur		litt. « mauvais poil »		
242	drʌhᴀᴜrəs	drochamhras	suspicion				
242	dᴜv-	dubh‑	noir				
242	nʹαv-	neamh-					
242	dᴜ:həmɑ̃:ⁱnʹtʹ	dubh-thiomáint	conduire à toute allure				
242	dᴜ:hɔləs	dubh-sholas	clair-obscur				
242	dᴜvǥʌrəm	dubhghorm	bleu sombre				
242	nʹαǥlɑ̃:n	neamhghlán	malpropre				
242	nʹαhɔkʷɩrʹ	neamhshocair	agité				
242	nʹαsg̬rʌpəl	neamhscrupall	manque de conscience				
243	bʹì:alʲλχ	béalfhliuch	humide, crachotant (en parlant du temps)		de bʹì:al (béal) et lʲλχ, forme modifiée de fʹlʲλχ (fliuch)		
243	bʹì:al	béal	bouche				
243	lʲλχ		humide				
243	fʹlʲλχ	fliuch	humide				
243	bʹì:allɑ:ⁱdʹɩrʹ	béalláidir	fort en gueule				
