Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section
199	do:lhəχ ʃe ən ᴀᴜ	d’ólfadh sé an abha	il boirait la rivière				
199	bᴀᴜŋk	bannc	banc de poissons				
199	brᴀᴜntənəs	bronntanas	présent				
199	klᴀᴜn	clann	progéniture				
199	dᴀ̃ᴜ̃n	domhan	monde				
199	fᴀᴜn	fonn	désir				
199	gᴀ̃ᴜ̃nə	gamhna			plur. de gãᴜ̃ⁱnʹ (gamhain)		
199	gãᴜ̃ⁱnʹ	gamhain	veau				
199	mᴀ̃ᴜ̃ntəχ	manntach	brèche-dent				
199	pᴀᴜl	poll	trou				
199	ə rᴀᴜs	an rabhas ?	est-ce que j’étais ?				
199	rᴀᴜrtə	rabharta	grande marée				
199	sᴀᴜl	sall	de l’autre côté				
199	tᴀᴜn	tonn	vague (subst.)				
199	trᴀᴜm	trom	lourd				
200	aλⁱʃ	amhais		awiʃ	plur. de ᴀᴜs (amhas)		
200	ᴀᴜs	amhas	jeune enfant (mais non bébé)				
200	kaλⁱrʹ	cabhair	secours				
200	gaλⁱrʹ	gabhair			plur. de gᴀᴜr (gabhar)		
200	gᴀᴜr	gabhar	chèvre				
200	kaλⁱlʹ	cabhail	buste		gén. kᴀᴜləχ (cabhlach)		
200	kᴀᴜləχ	cabhlach					
200	naᴜ̃ⁱdʹ	namhaid	ennemi				
200	sãᴜ̃ⁱnʹ	samhain	1er Novembre				
200	taλⁱmʹ	toghaim	je choisis				
201	kʲaᴜn	ceann	tête				
201	klʹaᴜnəs	cleamhnas	arrangement matrimonial	klʲaᴜnəs			
201	dʲaᴜrəv	deallramh	apparence	dʲɑ:rəv			
201	gʲaᴜltə	geallta	promis		de gʹαlɩmʹ (geallaim)		
201	gʹαlɩmʹ	geallaim	je promets				
201	glʲaᴜn	gleann	vallée	glʲaᴜn			
201	lʲãᴜ̃n	leamhan	mite				
201	lʲäᴜ̃s	leamhas	exultation				
201	mʲaᴜrəχ	meabhrach			gén. de maλⁱrʹ (meabhair)		
201	maλⁱrʹ	meabhair	raison				
201	ɑnərʹaᴜr	anareamhar	très gras		de rᴀᴜr (reamhar)		
201	rᴀᴜr	reamhar	gras				
201	ʃaᴜk	seabhac	faucon				
201	tʹrʹaᴜ	treabhadh	labourer				
201	tʲaᴜntə	teannta	proximité				
202	dʹäλⁱgʹ	deabhaidh			gén. de dʲaᴜ (deabhadh)		
202	dʲaᴜ	deabhadh	hâte				
202	lʹäλⁱrʹ	leabhair			gén. de lʲaᴜr (leabhar)		
202	lʲaᴜr	leabhar	livre				
202	ʃlʹäλⁱnʹ	sleamhain	glissant	ʃlʹäwɩnʹ			
202	ʃäλⁱkʹ	seabhaic			gén. de ʃaᴜk (seabhac)		
202	ʃaᴜk	seabhac	faucon				
202	tʹräʹλⁱmʹ	treabhaim	je laboure				
202	mʹäλⁱrʹ	meabhair	raison	mʹäwɩrʹ			
203	bʹlʹi·əntə	bliadhanta			plur. de bʹlʹi·ɛnʹ (bliadhain)		
203	bʹlʹi·ɛnʹ	bliadhain	année				
203	fʹi·əχə	fiacha	dettes				
203	dʹi·əl	diabhal	diable				
203	fʹi·əl	fiall	généreux				
203	grʹi·ən	grian	soleil				
203	i·əl	iall	lacet				
203	i·ərən	iarann	fer				
203	lʹi·əχ	liach	quantité				
203	lʹi·ərnʹɩ	liaghairne	fainéant				
203	ʃi·ər	siar	vers l’ouest				
203	tʹi·ərnə	tighearna	seigneur				
203	klʹi·əhɑ̃:n	cliathan	côté	klʹi:hɑ̃:n			
203	bʹrʹi·əhər	briathar	parole	brʹi:hər			
203	krʹi·əhər	criathar	crible	krʹi:hər			
203	ʃg̬ʹi·əhɑ̃:n	sciathán	aile	ʃg̬ʹi:hɑ̃:n			
204	bʹi·ɛ	biadh	nourriture				
204	dʹi·ɛ	dia	Dieu				
204	dʹi·ɛlʹ	diabhail			gén. de dʹi·əl (diabhal)		
204	dʹi·əl	diabhal	diable				
204	gə dʹi·ɛlʹ	go diail	excellent				
204	ɩ nʹi·ɛgʹ	i ndiaidh	après				
204	fʹi·ɛnʹ	fiadhain	sauvage				
204	i·ɛmʹ	iadhaim	je ferme				
204	lʹi·ɛh	liath	gris argent				
204	ə nɩ j·ɛgʹ	i n-a dhiaidh	après lui	ə nɩ ji·ɛgʹ			
205	rɪ·əvʹ	riamh	jamais				
205	rɪ·ən	rian	trace				
205	rɪ·əstə	riasta	cicatrice				
205	rɪ·əχ	riabhach	une des nom­breuses déformations arbitraires employées pour éviter de prononcer le nom du diable, dʹi·əl				
205	rɪ·əχtənəs	riachtanas	nécessité				
205	rɪ·əχ	riabhach	ramé (en parlant de la robe d’une vache)				
205	rɪ·əvo:g	riabhóg	petit oiseau de tourbière				
206	rɪ·ɛlʹ	riaghail	règle				
206	rɪ·ɛhɩ	riabhaiche			gén. fém. de rɪ·əχ (riabhach) ; cf. l’expression : lᴇ̈:həntə nə bo: rɪ·ɛhɩ (laetheannta na bó riabhaiche)		
206	rɪ·əχ	riabhach	ramé				
206	lᴇ̈:həntə nə bo: rɪ·ɛhɩ	laetheannta na bó riabhaiche	les derniers jours de Mars et les premiers jours d’Avril		litt. « les jours de la vache ramée »		
207	bʹì:al	béal	bouche				
207	bʹì:as	béas	coutume				
207	kʹì:ad	céad	cent				
207	fʹì:ar	féar	herbe				
207	fʹì:aso:g	féasóg	moustache				
207	gʹi:ag	géag	bras				
207	ì:ad	éad	jalousie				
207	ì:asg̬	éasc	nœud, défaut du bois				
207	ì:adᵊrəm	éadrom	léger				
207	lʹì:an	léan	regret				
207	mʹì:arnɑ:ⁱlʹ	méarnáil	tâtonner				
207	pʹlʹì:asg̬ə	pléascadh	exploser				
207	sg̬ʹì:al	scéal	histoire				
207	sg̬ʹì:an	scéan	terreur				
207	tʹrʹì:an	tréan	violent				
207	mʹì:as	mias	plat				
207	mʹì:an	mian	volonté, désir				
207	mʹì:anəχ	mianach	tempérament, caractère				
208	vʹᴇəχ	bheach	(il) serait				
209	bᴜ·ələ	bualadh	frapper				
209	kᴜ·ən	cuan	port				
209	krᴜ·əχ	cruach	tas				
209	dᴜ·ə	duagh	peine				
209	fᴜ·əsg̬ʷɩlʹtʹ	fuascailt	délivrer				
209	fᴜ·əh	fuath	haine				
209	fu·əχt	fuacht	froidure				
209	gᴜ·əl	gual	combustible				
209	lᴜ·əsg̬ə	luascadh	balancer				
209	trᴜ·ə	truagh	pitié				
209	rᴜ·ə	ruadh	roux				
209	ᴜ·əsəl	uasal	noble				
209	ᴜ·əhə	uatha	d’eux				
210	ɑnərʹλə	anaruadh	très rouge				
211	bᴜ·ɛlʹɩmʹ	buailim	je frappe				
211	krᴜ·ɛgʹ	cruaidh	dur				
211	krᴜ·ɛmʹ	cruadhaim	je durcis				
211	dᴜ·ɛgʹ	duaigh			gén. de dᴜ·ə (duagh)		
211	dᴜ·ə	duagh	chagrin				
211	dᴜ·ɛʃ	duais	récompense				
211	fᴜ·ɛmʹ	fuaim	son				
211	lᴜ·ɛmʹ	luadhaim	j’agite				
211	sᴜ·ɛnʹəs	suaineas	repos, tranquillité				
211	ᴜ·ɛʃlʹəχt	uaisleacht	noblesse				
211	ᴜ·ɛrʹ	uair	heure, fois				
211	ᴜɛnʹ	uain			gén. de ᴜ·ən (uan)		
211	ᴜ·ən	uan	agneau				
211	ᴜ·ɛmʹ	uaim	de moi				
211	wɛnʹɩ	uaine	vert		non ᴜ·ɛnʹɩ		
211	kɑt tɑ: wɛtʹ	cad tá uait	qu’est-ce qu’il te faut ?				
211	vwɛlʹ ʃe·	bhuail sé	il frappa		pour vᴜɛlʹ ʃe·		
211	nə hwɛʃlʹɩ	na huaisle	les gens chics		pour nə hᴜ·ɛʃlʹɩ		
