Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section	
135	i:vʹɩnʹ	aoibhin	délicieux	ɪ:vʹɩnʹ				
135	dʹe· hi:nʹɩ	de hAoine	Vendredi	dʹe· hɪ:nʹɩ				
135	i:lʹəχ	aoileach	fumier	ɪ:lʹəχ				
135	sɪ:mʹ	suim	considération					
136	dɪnʹɩ	duine	personne					
136	fʷɪhɩnʹ	fuithin	abri (du vent)					
136	əgʷɪnʹ	againn	à nous					
136	ɪrʹər	oirear	côte, rivage					
136	ɪrʹɩmʹ	oirim	je conviens					
136	kʷɪrʹɩmʹ	cuirim	je place					
136	kʷɪdʹ	cuid	partie					
136	mʷɪrʹ	muir	mer					
136	knɪkʹ	cnuic			gén. de kno̤k (cnoc)			
136	kno̤k	cnoc	colline					
136	lɪgʹɩ	laige	faiblesse					
136	sɪrʹ	soir	vers l’est					
136	ənɪrʹ	anoir	en venant de l’est					
136	rɪlʹɩgʹ	roilig	cimetière					
136	rɪmʹɩʃ	roimis	avant lui					
136	rɪbʹɩ	ribe	cheveu, mèche					
137	kʷɪrʹkʹɩ	coirce	avoine	körʹkʹɩ				
137	krɪkʹən	croiceann	peau	krökʹən		krɛkʹən		
137	srɪʃtʹɩnʹtʹ	sroichtint	atteindre	sröʃtʹɩnʹtʹ				
137	ɪrʹəd	oiread	quantité	ɛrʹəd				
138	fʷi:ʃtʹɩnʹɩ	faoistine	confession					
138	fʷɪ:ʃəv	faoiseamh	soulagement, répit					
138	gʷɪ:hɩ	gaoithe			gʷᴇ̈:h (gaoth)			
138	gʷᴇ̈:h	gaoth	vent					
138	gədi:	gadaidhe	voleur					
138	gʷɪ:ᵊχtɩnʹtʹ	guidheachtaint	prier					
138	ko:tɪ:	cotaí			plur. de ko:tə (cóta)			
138	ko:tə	cóta	manteau					
138	kʷɪ:ŋʹgʹ	cuing	lien, obligation					
138	kʷɪ:lʹɩ	caoile			comp. de kʷᴇ̈:ᵊl	(caol)		
138	kʷᴇ̈:ᵊl	caol	mince, étroit					
138	mʷɪ:lʹ	moill	délai					
138	nɪ:ᵊnɑ̃:n	naoidh­eanán	bébé					
138	pʷɪ:nʹ	puinn	petite quantité					
138	rɪ:	rí	roi					
138	rɪ:nʹ	righin	coriace					
138	lɑ: sɪ:rʹɩ	lá saoire	jour férié					
138	sɪ:ᵊn	suidheann	(il) s’assied					
138	ʃaᴜndrɪ:	seanndraoi	magicien, sorcier					
138	tɪ:dʹɩ	taoide	marée					
141	bʹrʹeh	breith	se saisir de	bʹrʹᴇh				
141	vʹeh	bheith	être	vʹᴇh				
141	tʹeh	te	chaud	tʹᴇh			289	
141	bʹehirʹ	beithir	bête sauvage					
141	bʹrʹehəv	breitheamh	juge					
141	klʹehɩrʹɩ fʹirʹ	cleithire fir	homme grand et gros					
142	bʹe:lʹɩ	béile	repas					
142	dʹe:	Dé			gén. de dʹi:ɛ (Dia)			
142	dʹi:ɛ	Dia	Dieu					
142	dʹrʹe:mʹɩrʹɩ	dréimire	échelle					
142	fʹe:n	féin	même					
142	e:	é	lui					
142	e:gʹɩnʹtʹ	éigin	certain (indéf.)					
142	gɑh e:nʹɩ	gach éinne	chacun					
142	e:nʹ	éin			gén. de ì:an (éan)			
142	ì:an	éan	oiseau					
142	glʹe:	glé	d’un blanc brillant					
142	ɩnʹe:	indé	hier					
142	krʹe:	cré	terre					
142	lɑ: fʹe:lʹɩ	lá féile	jour de fête					
142	mʹe:dʹ	méid	quantité					
142	ɑnərʹe:gʹ	anaréidh	très uni		de rᴇ̈:gʹ (réidh)			
142	rᴇ̈:gʹ	réidh	uni					
142	sg̬e:hi:nʹ	scéithín	creux de l’estomac					
142	ʃe:dʹɩmʹ	séidim	je souffle					
142	tʹrʹe:gʹɩmʹ	tréigim	j’abandonne					
142	bʷɪdʹe:ᵊl	buidéal	bouteille					
142	pɑ:ⁱpʹe:r	páipéar	papier					
142	tʹe:n	téigheann	(il) va					
142	lʹe:ᵊn	léigheann	(il) lit					
143	ɛr fʹαg mo he:lʹ	ar feadh mo shaoghail	toute ma vie					
143	sᴇ̈:lʹ	saoghail			génitif non modifié de sᴇ̈ᵊl (saoghal)			
143	sᴇ̈ᵊl	saoghal	vie					
143	se:lʹ	saoghail		sᴇ̈:lʹ				
143	trᴇ̈:ʃ ən tᴇ̈:lʹ	tar éis an tsaoghail	après tout					
143	re:lʹhi:nʹ	réilthín	étoile	rᴇ̈:lʹhʹi:nʹ				
144	bʹᴇrʹɩmʹ	beirim	je porte					
144	klʹᴇh	cleith	dissimulation	klʹeh				
144	dʹᴇrʹɩ	deire	fin					
144	nʹi:ᵊsɩ jᴇʃɩ	níosa dheise			compar. de dʹαs (deas)			
144	dʹαs	deas	joli					
144	dʹᴇfʹɩr	deithbhir	hâte					
144	ᴇtʹəl	eiteall	voler					
144	ᴇtʹɩmʹ	eitim	opportunité					
144	ᴇrʹəbəl	eirball	queue	ɛrʹəbəl				
144	kʹᴇlʹtʹ	ceilt	cacher					
144	gʹᴇlʹtʹ	geilt	fou					
144	lʹᴇrʹɩgʹ	leirg	terrain plane					
144	mʹᴇʃgʹɩ	meisce	ivresse					
144	ʃᴇfʹtʹ	seift	expédient					
144	ʃᴇlʹɩgʹ	seilg	chasse					
144	tʹᴇhɩmʹ	teichim	je fuis	tʹehɩmʹ				141
145	ɛr	ar	sur					
145	ɛg	ag	à					
145	ɛrʹhɩ	uirthi	sur elle					
145	ɛrʹ	air	sur lui					
145	ɛrʹəχtəs	oireachtas	activité					
145	sɛvʹɩrʹ	saidhbhir	riche					
145	sɛvʹⁱrəs	saidhbhreas						
145	sɛhɩg	saithigh			gén. de sɑhəχ (sathach)			
145	sɑhəχ	sathach	vase					
145	nʹi· rɛvʹ	ní raibh	n’était pas	nʹi· rʹᴇvʹ				
145	ɛbʹⁱrʹɩ	oibre			gén. de ɔbʷɩrʹ (obair)			
145	ɔbʷɩrʹ	obair	travail					
145	bʹɛrtʹ	beirt	deux personnes					
145	kʹɛrtʹ	ceirt			dans l’expression kʹɛrtʹ ɛr gɑh ᴇ̈:ᵊn tᴇ̈:ᵊv (ceirt ar gach aon taobh)			
145	kʹɛrtʹ ɛr gɑh ᴇ̈:ᵊn tᴇ̈:ᵊv	ceirt ar gach aon taobh	ménager la chèvre et le chou					
145	bʹɛd	bead	je serai					
145	ɛdʲəs	oideas	prescription	ödʲəs				
146	go bʹαχt	go beacht	avec exactitude					
146	bʹrʹαk	breac	bigarré					
146	kʹαd	cead	permission					
146	knʹαs	cneas	peau					
146	dʹαrəg	dearg	rouge					
146	fʹαrəg	fearg	colère					
146	gʹαl	geal	brillant					
146	lʹαh	leath	moitié					
146	lʹαhən	leathan	large					
146	lʹαnəv	leanbh	enfant					
146	mʹαs	meas	respect					
146	nʹαrt	neart	force					
146	ʃαχt	seacht	sept					
146	ʃαrəv	searbh	amer					
146	tʹαs	teas	chaleur					
146	kʹαʃtʹ	ceaist	bloc de pierre					
146	gʹαtʹɩrʹɩ	geaitire	margotin					
146	gʹαrʹɩdʹ	geairid	proche					
146	fʹαrʹi:nʹ				diminutif de fʹαr (fear)			
146	fʹαr	fear	homme					
146	bʹαnʹi:nʹ				diminutif de bʹαn (bean)			
146	bʹαn	bean	femme					
147	αlə	eala	cygne	ɑlə				
147	αrə	earra	chose	ɑrə				
147	αgᵊlə	eagla	crainte					
147	αdərhə	eadartha	début de la matinée	ɑdərhə				
147	αsg̬ʷɩnʹɩ	eascaine	juron	ɑsg̬ʷɩnʹɩ				
147	αχmərtʹ	eachmairt	rut (chez le cheval)	ɑχmərtʹ				
147	is mah ɩnʹ αr e:	is maith an earra é	c’est une bonne denrée	is mɑh ən ɑr e:				
147	ɩnʹ αχmərtʹ	an eachmairt		ən ɑχmərtʹ				
147	ə tagᵊlə	an t‑eagla	la crainte					
147	ən ɑsg̬ʷɩnʹɩ	an eascaine	le juron					
147	αgə	aga	loisir	ɑgə				
147	αrʹɩ	aire	soin, attention	arʹɩ			187	
